	texto	texto_modificado
6336	-medicamentos caros, sobretodo para enfermedades críticas	medicamento caro  sobretodo enfermedad crítico
6337	"-largas de horas de espera en urgencias"""	larga hora espera urgencia
6338	"2860	""las eternas listas de espera"	eterno lista espera
6339	atención es mala y pauperrima	atención malo pauperrimo
6340	esperar años para una operación	esperar año operación
6342	la brecha es demasiado grande entre los publico y privado	brecha demasiado grande público privado
6343	"la calidad de las propiedades horrible"""	calidad propiedad horrible
6344	"2861	""1) habiendo trabajo se pueden cubrir algunas necesidades"	trabajo cubrir alguno necesidad
6345	2) el trabajo da tranquilidad	trabajo dar tranquilidad
6346	"3) asi no habria tanta delincuencia y drogadiccion"""	así delincuencia drogadiccion
6347	"2862	""- muy bajas"	baja
6348	- aumento sueldo minimo	aumento sueldo mínimo
6349	"- al tener lagunas laborales no alcanza a juntar para una óptima jubilación"""	laguna laboral alcanzar juntar óptimo jubilación
6350	"2863	""mejorar la calidad de la salud"	mejorar calidad salud
6351	mejor trato a los pacientes	mejor trato paciente
6352	mejorar la entrega de horas médicas para la poblacion rural	mejorar entrega hora médico población rural
6353	más medicamentos disponibles	medicamento disponible
6354	paramédico estable en la posta rural	paramédico estable posta rural
6356	"2864	""- prevención en salud/medicamentos -> poco acceso"	prevención saludmedicamento   acceso
6357	- listas de espera v/s urgencias	lista espera vr urgencia
6358	- poca estabilidad laboral -> poco acceso horas en cesfam	estabilidad laboral   acceso hora cesfam
6359	"- profesionales extranjeros (calidad de la atención)"""	profesional extranjero  calidad atención
6360	"2865	""debemos ponernos en lugar projimos, debo ceder en ciertas cosas"	poner lugar projimo  ceder cierto cosa
6361	"sacar lo mejor de cada personas"""	sacar mejor cada persona
6362	"2866	""debido a las actividades de violencia al futuro y al"	debido actividad violencia futuro
6363	corto plazo, presión por las pensiones.	corto plazo  presión pensión
6364	"- imposible jubilar con las pensiones obtenidas"""	imposible jubilar pensión obtenido
6365	"2867	""discriminación por parte de apoderado, por condición de alumnos (enfermedad)."	discriminación parte apoderado  condición alumno  enfermedad
6366	no hay una buena educación con lo que respecta enfermedades y diferencias entre alumnos.	buen educación respectar enfermedad diferencia alumno
6367	todos tenemos derecho a estudiar, por tanto el estado tiene que dar garantia para todos.	derecho estudiar  estado dar garantia
6368	"que la educación sea de calidad, agregar """	educación calidad  agregar
6369	"2868	""-no existen médicos especialistas en la comuna."	no existir médico especialista comuna
6370	-mejor atención de médicos.	mejor atención médico
6371	-trayectos largos por una atención médica.	trayecto largo atención médico
6372	"-paramédicos de reemplazo en posta rural."""	paramédico reemplazo posta rural
6373	"2869	""educacion es muy cara"	educación cara
6374	la educación comienza por casa.	educación comenzar casa
6375	existe desigualdad,  (publica y privada).	existir desigualdad   publica privado
6376	sistema de tómbola para los colegios se debería eliminar- desigualdad entre los públicos- privado	sistema tómbola colegio eliminar desigualdad públicos privado
6377	"falta educación mas personalizada."""	faltar educación personalizado
6378	"2870	consideran que los recursos que se destinan por ejemplo a ind y los fondos que maneja los gobiernos regionales no son suficientes para cubrir las necesidades de los deportistas y no dan prioridad a los problemas reales"	considerar recurso destinar ejemplo ind fondo manejar gobierno regional suficiente cubrir necesidad deportista dar prioridad problema real
6379	"2871	""- atención digna y oportuna"	atención digno oportuno
6381	- personal idoneo	personal idoneo
6382	- listas de espera-	lista espera
6383	"- insumos"""	insumo
6384	"2872	""calidad en la salud."	calidad salud
6385	deficiencia - listas de espera	deficiencia  lista espera
6387	falta de recursos e insumos.	falta recurso insumo
6388	"salud debe ser del gobierno no del municipio"""	salud gobierno municipio
6389	"2873	""* Eliminar articulo 19 y 101 es el que avala el sistema subsidiario."	eliminar articulo   avalar sistema subsidiario
6390	"* Libertad empresarial"""	libertad empresarial
6391	"2874	""mala la atención"	malo atención
6392	tiempon de atención	tiempon atención
6393	falya de medicamentos (insumos)	falya medicamento  insumo
6395	"falta de ambulancia"""	falta ambulancia
6396	"2875	""institucones funcionen queremos emprender pero necesitamos red de apoyo."	institucón funcionar querer emprender necesitar red apoyo
6397	"ciudadanos tengan incidencia no a puertas cerradas"""	ciudadano incidencia puerta cerrado
6398	"2876	""dignificar la vida de los adulto mayor"	dignificar vida adulto mayor
6399	"mejoraria su calidad en cuanto a la alimentacion y vivienda"""	mejorar calidad cuanto alimentación vivienda
6400	"2877	""hay que mejorar la calidad en la educación, no hubo cambio con la desmunicipalización de los colegios"	mejorar calidad educación  cambio desmunicipalización colegio
6401	la evaluación mediante el simce no sirve	evaluación mediante simce servir
6402	mala calidad de los profesores	malo calidad profesor
6403	"no gratuidad para todos, pero si el que no puede pagar"""	gratuidad  si pagar
6404	"2878	para que la gente no sea tan vulnerable, mientras más educación menos se pueden aprovechar o engañar a la gente."	gente vulnerable  mientras educación menos aprovechar engañar gente
6405	"2879	""-se necesita cambiar el sistema antiguo de los hospitales"	yse necesitar cambiar sistema antiguo hospital
6406	-los consultorios dependeran del municipio y el sistema es mucho mejor y rápido	lo consultorio depender municipio sistema mejor rápido
6407	-existe mucha diferencia entre la salud pública y privada	existir diferencia salud público privado
6408	- falta gente con vocación en salud y falta fiscalización- malos diagnósticos	faltar gente vocación salud falta fiscalización malo diagnóstico
6409	"-ex"""	ex
6410	"2880	""-emprendedores necesitan mas oportunidades para surgir subsidios"	emprendedor necesitar oportunidad surgir subsidio
6411	-bese en la gentes	bese gente
6412	"-mejorar los sueldo y la protección social"""	mejorar sueldo protección social
6413	"2881	""la sociedad no respeta la autoridad"	sociedad respetar autoridad
6414	ministro del interior no está cumpliendo	ministro interior cumplir
6415	no se respeta a policías	respetar policía
6416	falta de escuchar al pueblo	falta escuchar pueblo
6417	"conflictos políticos"""	conflicto político
6418	"2882	""riesgos en trayecto al país falta de control de policías."	riesgo trayecto país falta control policía
6419	"derechos humanos no es igual para todos."""	derecho humano igual
6420	"2883	""-mejorar las pensiones desde su base"	mejorar pensión base
6421	-en varios aspectos.	en varios aspecto
6422	"que a la muerte del cotizante los fondos sean heredables sin mayores trabas y pase a una familia directa de su nucleo familiar"""	muerte cotizante fondo heredable mayor traba pasar familia directo nucleo familiar
6423	"2884	es la prioridad. hay personas que mueren esperando una buena atención o una operación. esto no puede seguir pasando"	prioridad  persona morir esperar buen atención operación  seguir pasar
6424	"2885	""-empoderar más a carabineros"	empoderar carabinero
6425	-aumento importante de los delitos, especialmente venta de juegos, robos, venta de alcohol	aumento importante delito  especialmente venta juego  robo  venta alcohol
6426	"-infraestructura en las calles, como la iluminación """	infraestructura calle  iluminación
6427	"2886	""posta no hay remedios son muy caros"	posta remedio caro
6428	la atención es mala	atención malo
6429	los hospitales no tienen especialistas	hospital especialista
6430	"muchos auxiliares y pocos médicos"""	auxiliar médico
6431	"2887	""nivelar la educación sin importar el lugar donde se este impartiendo"	nivelar educación importar lugar impartir
6432	cambio estructural en relacion a los docentes, la administración	cambio estructural relación docente  administración
6433	"mejorar los puntajes para psu """	mejorar puntaje psu
6434	"2888	""de calidad y de acceso para todos"	calidad acceso
6435	"desprivatizar la salud. más infraestructura mejor dotación funcionarios, descentralizar los hospitales, reducir costo de medicamentos y el lucro"""	desprivatizar salud  infraestructura mejor dotación funcionario  descentralizar hospital  reducir costo medicamento lucro
6436	"2889	""-déficit de poder entrar a un comité de allegados."	déficit entrar comité allegado
6437	-no poder postular a subsidio.	no postular subsidio
6438	"-que no alcance para arrendar una vivienda, debido a los sueldos bajos."""	que alcanzar arrendar vivienda  debido sueldo bajo
6439	"2890	""mejorar la calidad a la atencion a las personas"	mejorar calidad atención persona
6440	en caso de medicos	caso medico
6441	"acorta lista de espera """	acortar lista espera
6442	"2891	que permita cubrir las necesidades básicas de acuerdo al costo de la vida en el país"	permitir cubrir necesidad básico acuerdo costo vida país
6443	"2892	""-no hay dotación de profesionales en situación de contingencia"	no dotación profesional situación contingencia
6444	-disminuir delincuencia	disminuir delincuencia
6445	"-aumentar el control frente a los delincuentes """	aumentar control frente delincuente
6446	"2893	"". grandes listas de espera"	grande lista espera
6447	en atención	atención
6448	.mucho gasto particular en ex	mucho gasto particular ex
6449	".poca especialidad en la comuna """	especialidad comuna
6450	"2894	""- excesivamente caro por ser profesional"	excesivamente caro profesional
6451	- no existen centros para niños con capacidades distintas	existir centro niño capacidad distinto
6452	- salud dental nula	salud dental nulo
6453	- excesivas listas de espera	excesivo lista espera
6454	"- examenes públicos muy caros lo que lleva a una espera incierta"""	examen público caro llevar espera incierto
